timestamp,tweet_text,username,all_hashtags,followers_count
2020-10-14 05:55:13,"b'After the iPhone 12 launch, @Apple has slashed iPhone 11 price in India to Rs 54,900. So, will it be a good buy? Find out \xf0\x9f\x92\xb8\xf0\x9f\x93\xb1  #Apple #iPhone #Tech #Technology   https://t.co/pJKWc9WcFp'",b'moneycontrolcom',"['Apple', 'iPhone', 'Tech', 'Technology']",943231
2020-10-14 05:46:27,"b'Apple is not providing chargers anymore out of the box for the new i-phones. Next time, Apple will only provide you a box, and you will have to pay seperately for the i-phone XD. 2 minutes of silence for those I-phone users. XD #iphone #AppleEvent #Apple'",b'NinjaParanoid',"['iphone', 'AppleEvent', 'Apple']",6626
2020-10-14 05:40:48,b'Why would anyone get disappointed if he/she cant own an #iPhone12 ?  How does it even matter?  Zabardasti bhao badha rakhe hain #iphone ke \xf0\x9f\x99\x84 https://t.co/pd79NNkWTF',b'vagishasoni',"['iPhone12', 'iphone']",20649
2020-10-14 05:39:39,b'#mobilesecurity | #android | #iphone | Securing Devices at Home and\xc2\xa0Work https://t.co/Klvvo2INTW',b'NcsVentures',"['mobilesecurity', 'android', 'iphone']",6343
2020-10-14 05:39:12,"b'American tech giant @Apple has launched the latest #iPhone series around the world. The new #iPhone12 will be available in three variants apart from the standard one. These include the #iPhone12Pro, #iPhone12ProMax, and an affordable option, the #iPhone12mini. https://t.co/gKJhIJW1VM'",b'exhibitmagazine',"['iPhone', 'iPhone12', 'iPhone12Pro', 'iPhone12ProMax', 'iPhone12mini']",12749
2020-10-14 05:38:10,"b'#Apple Inc has launched its much-awaited 2020 #iPhone models, all equipped with 5G. The iPhone 12 series, launched at a virtual event, includes iPhone 12,\xc2\xa0iPhone 12 Mini, iPhone 12 Pro, and iPhone 12 Pro Max.  @Apple  https://t.co/9ckTevNDrw'",b'YourStoryCo',"['Apple', 'iPhone']",248138
2020-10-14 05:37:38,"b""#InPics: Don't lose heart if you cannot afford #iPhone, here are some other good options for you #Samsung #Motorola #OnePlus   https://t.co/ucnZ3hnVX3""",b'ZeeNewsEnglish',"['InPics', 'iPhone', 'Samsung', 'Motorola', 'OnePlus']",5281798
2020-10-14 05:36:49,b'Close up with the iPhone 12 Pro! https://t.co/UxnFBZMH1e @TechmashUK #TechmashUK #Apple #iPhone #iPhone12Pro #iOS #PreOrderiPhone12 #CeramicShield #5G #A14Bionic #MagSafe #LiDARScanner #DolbyVision https://t.co/DxxawlRS6t',b'TechmashDave',"['TechmashUK', 'Apple', 'iPhone', 'iPhone12Pro', 'iOS', 'PreOrderiPhone12', 'CeramicShield', '5G', 'A14Bionic', 'MagSafe', 'LiDARScanner', 'DolbyVision']",29160
2020-10-14 05:36:17,"b'| \xe2\x80\x98Fortnite\xe2\x80\x99 Will Remain Out of Apple\xe2\x80\x99s App Store Ahead of Trial, Judge Rules | #iphone | #ios |\xc2\xa0#mobilesecurity https://t.co/3CuiWzgYEF'",b'NcsVentures',"['iphone', 'ios', 'mobilesecurity']",6343
2020-10-14 05:28:39,b'Analysts are bullish about iPhone 12\xe2\x80\x99s reception in China. #FMTNews #Apple #iPhone  https://t.co/TP6d6UZAxq',b'fmtoday',"['FMTNews', 'Apple', 'iPhone']",158190
