timestamp,tweet_text,username,all_hashtags,followers_count
2020-10-12 14:58:21,b'The ID.3 will even tell you which way to turn - genius!  https://t.co/whgtJT5Y6F  #Volkswagen #VolkswagenID3 #ElectricCar #VW #VWID3 #VWelectric #VWID3review #ID3 #ID3review #ID3testdrive #ID3VW #VWelectriccar #VWGolf #VWBeetle #VWupelectric #ElectricCar #ElectricVehicle https://t.co/ys8ZPTZjXs',b'FullyChargedShw',"['Volkswagen', 'VolkswagenID3', 'ElectricCar', 'VW', 'VWID3', 'VWelectric', 'VWID3review', 'ID3', 'ID3review', 'ID3testdrive', 'ID3VW', 'VWelectriccar', 'VWGolf', 'VWBeetle', 'VWupelectric', 'ElectricCar', 'ElectricVehicle']",31375
2020-10-12 12:56:56,"b'#Tesla CEO #ElonMusk further revealed plans for the India entry of the #electriccar maker, saying the process to bring Tesla cars to India will begin in January 2021.  Earlier this month, @elonmusk said the electric car maker is finally ready to enter the India market next year. https://t.co/EpqyGGqPii'",b'ians_india',"['Tesla', 'ElonMusk', 'electriccar']",57567
2020-10-12 10:21:03,b'A #team of 22 students unveiled... Luca. This adorable #electriccar is made of trash.  One person\xe2\x80\x99s trash is another person\xe2\x80\x99s zero emissions #vehicle?  \xe2\x86\xa3 https://t.co/yBrSb9AgpX  \xe2\x99\xbb\xef\xb8\x8f @thenextweb @aghoshal | cc @nigelwalsh @YuHelenYu @maijapalmer @HaahrMarianne #Sustainability https://t.co/RXWZc1IlqA',b'SabineVdL',"['team', 'electriccar', 'vehicle', 'Sustainability']",17221
2020-10-12 08:10:01,"b'According to @MailOnline, almost all cars will have to be electric by 2050 to meet the @UN\xe2\x80\x99s climate targets. \xe2\x9c\x85 More on this at: https://t.co/1JaI6EIpEj #ElectricCar #ElectricVehicle #GoGreen'",b'Vodafone_Auto',"['ElectricCar', 'ElectricVehicle', 'GoGreen']",7490
2020-10-11 20:57:00,b'Revealed: The most popular electric cars in the world #ElectricVehicles #ElectricCar https://t.co/GinOXbMUYY',b'NuneatonNews',"['ElectricVehicles', 'ElectricCar']",8190
2020-10-11 18:57:00,b'Revealed: The most popular electric cars in the world #ElectricVehicles #ElectricCar https://t.co/HmGHGqK4Fh',b'live_coventry',"['ElectricVehicles', 'ElectricCar']",86844
2020-10-11 17:40:44,"b""Index ranks 'kindest' new cars it says are best for vegan motorists https://t.co/JUC42fbP5b via @ThisIsMoney #vegan  #EUGreenDeal #ClimateActionNow #ElectricCar #ElectricCars #ElectricVehicles #EVs #Tesla #cars #autos #VW #Mercedes #BMW #PSA #Renault #Citroen #Peugeot #Fiat""",b'AlexWitzleben',"['vegan', 'EUGreenDeal', 'ClimateActionNow', 'ElectricCar', 'ElectricCars', 'ElectricVehicles', 'EVs', 'Tesla', 'cars', 'autos', 'VW', 'Mercedes', 'BMW', 'PSA', 'Renault', 'Citroen', 'Peugeot', 'Fiat']",11508
2020-10-11 17:37:47,b'Tesla shares bounce after record plunge https://t.co/wxNcwpSd9h via @ETAuto  #EUGreenDeal #ClimateActionNow #ElectricCar #ElectricCars #ElectricVehicles #EVs #Tesla #cars #autos #VW #Mercedes #BMW #PSA #Renault #Citroen #Peugeot #Fiat #Volvo #Opel',b'AlexWitzleben',"['EUGreenDeal', 'ClimateActionNow', 'ElectricCar', 'ElectricCars', 'ElectricVehicles', 'EVs', 'Tesla', 'cars', 'autos', 'VW', 'Mercedes', 'BMW', 'PSA', 'Renault', 'Citroen', 'Peugeot', 'Fiat', 'Volvo', 'Opel']",11508
2020-10-11 17:36:11,b'Auto dealers face a business revolution as EVs gain market share - Las Vegas Sun News https://t.co/l247O97gsH #EUGreenDeal #ClimateActionNow #ElectricCar #ElectricCars #ElectricVehicles #EVs #Tesla #cars #autos #VW #Mercedes #BMW #PSA #Renault #Citroen #Peugeot #Fiat #Volvo #Opel',b'AlexWitzleben',"['EUGreenDeal', 'ClimateActionNow', 'ElectricCar', 'ElectricCars', 'ElectricVehicles', 'EVs', 'Tesla', 'cars', 'autos', 'VW', 'Mercedes', 'BMW', 'PSA', 'Renault', 'Citroen', 'Peugeot', 'Fiat', 'Volvo', 'Opel']",11508
2020-10-11 17:35:08,"b'Amazon trucks? This is his first electric van, made exclusively for shipping via @Entrepreneur @SoyEntrepreneur https://t.co/ovoGx3usOS #Amazon  #EUGreenDeal #ClimateActionNow #ElectricCar #ElectricCars #ElectricVehicles #EVs #Tesla #cars #autos #VW #Mercedes #BMW #PSA #Renault'",b'AlexWitzleben',"['Amazon', 'EUGreenDeal', 'ClimateActionNow', 'ElectricCar', 'ElectricCars', 'ElectricVehicles', 'EVs', 'Tesla', 'cars', 'autos', 'VW', 'Mercedes', 'BMW', 'PSA', 'Renault']",11508
